year,prevalence_pct,low_ci,high_ci,split
1990,11.588524,8.6062029,14.975186,train
1991,11.767208,8.9350142,14.934032,train
1992,11.94774,9.2536956,14.940098,train
1993,12.131096,9.5536776,14.962712,train
1994,12.316546,9.8837316,14.926884,train
1995,12.510101,10.214237,15.0343,train
1996,12.712844,10.519587,15.076263,train
1997,12.928678,10.823268,15.155455,train
1998,13.162544,11.166076,15.278797,train
1999,13.422854,11.509059,15.421291,train
2000,13.710047,11.893971,15.63267,train
2001,14.022255,12.255832,15.909284,train
2002,14.3503,12.640303,16.162547,train
2003,14.68678,13.044953,16.428979,train
2004,15.023483,13.410248,16.677657,train
2005,15.352511,13.77797,16.95693,train
2006,15.665671,14.121445,17.227815,train
2007,15.960917,14.471522,17.491581,train
2008,16.242991,14.773285,17.726062,validation
2009,16.49131,15.050492,17.935801,validation
2010,16.722542,15.303895,18.146423,validation
2011,16.949822,15.552801,18.364057,validation
2012,17.188653,15.856177,18.569027,validation
2013,17.464454,16.131809,18.85311,validation
2014,17.789079,16.415378,19.197978,validation
2015,18.203703,16.783646,19.713509,validation
2016,18.697399,17.156692,20.319334,test
2017,19.24687,17.54494,21.002631,test
2018,19.84711,17.934644,21.82698,test
2019,20.482711,18.193255,22.825415,test
2020,21.150354,18.443106,23.961869,test
2021,21.846819,18.64706,25.193602,test
2022,22.562811,18.76156,26.543227,test
