Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1202398,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,2001,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,12.6 [9.1-16.4],12.57994,9.1240443,16.410016,,2024-11-13T10:26:48.993+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1232040,NCD_DIABETES_PREVALENCE_AGESTD,WORLDBANKINCOMEGROUP,WB_LI,,YEAR,,SEX,SEX_MLE,1990,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.7 [4.1-7.8],5.730778,4.0751506,7.8495033,,2024-11-13T10:26:48.993+01:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
1232102,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,BTN,SEAR,YEAR,South-East Asia,SEX,SEX_BTSX,1990,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,9.2 [5.4-14.2],9.2103496,5.4357525,14.230947,,2024-11-13T10:26:48.993+01:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
1232455,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,ALB,EUR,YEAR,Europe,SEX,SEX_MLE,2021,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,11.8 [3.8-24.6],11.837165,3.7775777,24.588484,,2024-11-13T10:26:48.993+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
1232547,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,MUS,AFR,YEAR,Africa,SEX,SEX_BTSX,2004,AGEGROUP,AGEGROUP_YEARS30-PLUS,,,,,26.0 [22.4-30.0],26.02694,22.400428,29.98451,,2024-11-13T10:26:48.993+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1232562,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,AUS,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,2003,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.7 [3.9-5.6],4.6645839,3.8519397,5.55912,,2024-11-13T10:26:48.993+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1232962,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,SLB,WPR,YEAR,Western Pacific,SEX,SEX_MLE,1994,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.6 [3.2-11.5],6.6393927,3.2482274,11.547258,,2024-11-13T10:26:48.993+01:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
1233171,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,PYF,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,2005,AGEGROUP,AGEGROUP_YEARS30-PLUS,,,,,20.4 [15.2-26.1],20.358834,15.2152,26.095846,,2024-11-13T10:26:48.993+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1233268,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,NAM,AFR,YEAR,Africa,SEX,SEX_BTSX,2005,AGEGROUP,AGEGROUP_YEARS30-PLUS,,,,,11.0 [6.7-16.5],11.045615,6.6947624,16.506962,,2024-11-13T10:26:48.993+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1233378,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,DMA,AMR,YEAR,Americas,SEX,SEX_MLE,2010,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,13.3 [7.7-20.6],13.290642,7.7206455,20.585579,,2024-11-13T10:26:48.993+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1233409,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,MDA,EUR,YEAR,Europe,SEX,SEX_FMLE,2019,AGEGROUP,AGEGROUP_YEARS30-PLUS,,,,,11.0 [7.8-14.7],10.981609,7.7925667,14.739302,,2024-11-13T10:26:48.993+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1233469,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,LTU,EUR,YEAR,Europe,SEX,SEX_FMLE,2019,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,10.1 [3.7-20.6],10.092637,3.6524452,20.594461,,2024-11-13T10:26:48.993+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1233521,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,CYP,EUR,YEAR,Europe,SEX,SEX_FMLE,2018,AGEGROUP,AGEGROUP_YEARS30-PLUS,,,,,7.4 [2.3-16.1],7.4405551,2.2875113,16.099249,,2024-11-13T10:26:48.993+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1233590,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,MDG,AFR,YEAR,Africa,SEX,SEX_FMLE,2015,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.0 [2.9-16.5],8.0381349,2.8848635,16.537195,,2024-11-13T10:26:48.993+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1233760,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,KIR,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,2015,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,22.3 [18.2-26.7],22.283991,18.176168,26.678857,,2024-11-13T10:26:48.993+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1233829,NCD_DIABETES_PREVALENCE_AGESTD,COUNTRY,KNA,AMR,YEAR,Americas,SEX,SEX_MLE,2003,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,11.5 [4.6-21.3],11.470969,4.6361502,21.256064,,2024-11-13T10:26:48.993+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
