year,predicted,ci_lower,ci_upper
2023,18.724836011786984,18.70168416356029,18.747987860013676
2024,19.35253001135291,19.267998527665345,19.437061495040478
2025,20.07687776527392,19.87951691320788,20.27423861733996
2026,20.882872404743473,20.512836547343674,21.252908262143272
2027,21.753822285817318,21.146933626443342,22.360710945191293
2028,22.673573543945277,21.76460039396171,23.582546693928844
2029,23.627804210799454,22.35287063597631,24.902737785622598
2030,24.604636082460935,22.902825302309864,26.306446862612006
2031,25.594776873795087,23.40905850089505,27.780495246695125
2032,26.591365016079266,23.86899757476572,29.31373245739281
