feature,feature_label,chi2,p_value,cramers_v,dof
GenHlth,General Health,18193.703885350526,0.0,0.28157482185325494,4
HighBP,High Blood Pressure,14840.421805278642,0.0,0.2543058668522422,1
DiffWalk,Difficulty Walking,9670.630180157525,0.0,0.20528662026643651,1
HighChol,High Cholesterol,8719.656977878742,0.0,0.1949319185956483,1
Age,Age Category,8207.83159010538,0.0,0.18912436178628095,12
HeartDiseaseorAttack,Heart Disease or Attack,6491.585744746344,0.0,0.16819328618437193,1
Income,Income Level,4637.195742032824,0.0,0.1421546175364323,7
Education,Education Level,2508.4053620030304,0.0,0.10455194518107866,5
PhysActivity,Physical Activity,2312.7036940053667,0.0,0.10039064719906977,1
Stroke,Stroke,2256.534054854552,0.0,0.09916403799496774,1
Smoker,Smoker,474.89844787950335,2.7532285373134047e-105,0.045491853521792205,1
Sex,Sex,245.55384122428245,2.4197839454991873e-55,0.03271196426619304,1
