feature,category,sample_count,diabetes_cases,prevalence_pct
HighBP,,125214,8692.0,6.94
HighBP,,104260,26405.0,25.33
HighChol,,128129,11601.0,9.05
HighChol,,101345,23496.0,23.18
Smoker,,122585,16874.0,13.77
Smoker,,106889,18223.0,17.05
Stroke,,219190,31829.0,14.52
Stroke,,10284,3268.0,31.78
HeartDiseaseorAttack,,205761,27241.0,13.24
HeartDiseaseorAttack,,23713,7856.0,33.13
PhysActivity,,61260,13038.0,21.28
PhysActivity,,168214,22059.0,13.11
DiffWalk,,186849,21983.0,11.77
DiffWalk,,42625,13114.0,30.77
Sex,,128715,18345.0,14.25
Sex,,100759,16752.0,16.63
GenHlth,,34854,1135.0,3.26
GenHlth,,77365,6280.0,8.12
GenHlth,,73632,13324.0,18.1
GenHlth,,31545,9781.0,31.01
GenHlth,,12078,4577.0,37.9
Age,,5511,78.0,1.42
Age,,7064,140.0,1.98
Age,,10023,314.0,3.13
Age,,12229,625.0,5.11
Age,,14040,1049.0,7.47
Age,,17280,1741.0,10.08
Age,,23121,3072.0,13.29
Age,,27272,4241.0,15.55
Age,,29678,5681.0,19.14
Age,,29093,6483.0,22.28
Age,,21993,5090.0,23.14
Age,,15379,3383.0,22.0
Age,,16791,3200.0,19.06
Education,,174,47.0,27.01
Education,,4040,1183.0,29.28
Education,,9467,2296.0,24.25
Education,,61124,11032.0,18.05
Education,,66444,10311.0,15.52
Education,,88225,10228.0,11.59
Income,,9791,2383.0,24.34
Income,,11756,3086.0,26.25
Income,,15920,3564.0,22.39
Income,,19953,4047.0,20.28
Income,,25326,4489.0,17.72
Income,,34957,5260.0,15.05
Income,,40131,5226.0,13.02
Income,,71640,7042.0,9.83
BMI_category,Normal,58842,3910.0,6.64
BMI_category,Obese Class I,50693,10193.0,20.11
BMI_category,Obese Class II,20448,5653.0,27.65
BMI_category,Obese Class III,13716,4607.0,33.59
BMI_category,Overweight,82723,10565.0,12.77
BMI_category,Underweight,3052,169.0,5.54
